origin,dest,city,leg,tax,days,carrier,verdict,flights,hours
CAI,CGK,CGK,back,54.19,157,QR,QR,QR1304 QR958,13.3
CAI,CGK,CGK,back,80.49,37,QR,QR,QR1304 QR958,13.3
CAI,CGK,CGK,back,64.49,9,QR,QR,QR1302 QR954,20.8
CAI,CGK,CGK,back,83.09,2,QR,QR,QR1304 QR954,27.5
CAI,CGK,CGK,back,90.79,2,QR,QR,QR1304 QR958,13.2
CAI,CGK,CGK,back,58.29,1,QR,QR,QR1308 QR958,14.7
CAI,CGK,CGK,back,86.09,1,,无单一航司,,
CAI,CGK,CGK,back,86.19,1,,无单一航司,,
CGK,CAI,CGK,out,28.49,157,QR,QR,QR959 QR1301,13.8
CGK,CAI,CGK,out,54.79,41,QR,QR,QR959 QR1301,13.8
CGK,CAI,CGK,out,38.79,9,,无单一航司,,
CGK,CAI,CGK,out,57.39,2,QR,QR,QR957 QR1301,28.4
CGK,CAI,CGK,out,60.49,1,,无单一航司,,
CGK,CAI,CGK,out,106.79,1,,无单一航司,,
CGK,CAI,CGK,out,65.09,1,,无单一航司,,
CAI,HKG,HKG,back,80.49,82,QR,QR,QR1310 QR816,13.4
CAI,HKG,HKG,back,90.79,15,QR,QR,QR1310 QR816,13.4
CAI,HKG,HKG,back,83.09,9,QR,QR,QR1304 QR816,26.8
CAI,HKG,HKG,back,96.09,6,,无单一航司,,
CAI,HKG,HKG,back,97.19,3,,无单一航司,,
CAI,HKG,HKG,back,58.29,2,QR,QR,QR1304 QR816,26.8
CAI,HKG,HKG,back,132.49,2,QR,QR,QR1308 QR816,19.3
CAI,HKG,HKG,back,69.19,1,,无单一航司,,
CAI,HKG,HKG,back,73.79,1,,无单一航司,,
CAI,HKG,HKG,back,82.39,1,,无单一航司,,
CAI,HKG,HKG,back,112.49,1,,无单一航司,,
HKG,CAI,HKG,out,95.89,55,QR,QR,QR815 QR1307,14.4
HKG,CAI,HKG,out,85.19,18,,无单一航司,,
HKG,CAI,HKG,out,100.79,12,,无单一航司,,
HKG,CAI,HKG,out,87.09,12,,无单一航司,,
HKG,CAI,HKG,out,101.89,11,,无单一航司,,
HKG,CAI,HKG,out,136.89,6,,无单一航司,,
HKG,CAI,HKG,out,62.99,5,,无单一航司,,
HKG,CAI,HKG,out,95.49,2,,无单一航司,,
HKG,CAI,HKG,out,98.49,2,QR,QR,QR817 QR1301,29.5
CAI,KUL,KUL,back,54.19,156,WY,WY,,
CAI,KUL,KUL,back,80.49,49,QR,QR,QR1304 QR854,19.1
CAI,KUL,KUL,back,83.09,4,QR,QR,QR1302 QR844,30.7
CAI,KUL,KUL,back,65.89,2,,无单一航司,,
CAI,KUL,KUL,back,86.19,1,,无单一航司,,
KUL,CAI,KUL,out,68.39,168,QR,QR,QR853 QR1303,20.8
KUL,CAI,KUL,out,94.69,36,QR,QR,QR855 QR1307,18.0
KUL,CAI,KUL,out,97.29,2,QR,QR,QR845 QR1307,30.5
KUL,CAI,KUL,out,106.39,2,,无单一航司,,
KUL,CAI,KUL,out,72.49,1,EY,EY,,
KUL,CAI,KUL,out,146.69,1,,无单一航司,,
KUL,CAI,KUL,out,77.69,1,,无单一航司,,
