城市,目的地,去程商务天数,去程商务最低税,回程商务天数,回程商务最低税,去程经济天数,去程经济最低税,回程经济天数,回程经济最低税
BKK,CAI,226,49.39,225,56.09,217,49.39,222,51.09
BKK,DOH,222,37.85,233,39.65,210,37.85,234,39.65
BKK,DXB,226,37.20,233,38.70,212,37.20,234,38.70
CAN,CAI,170,30.29,203,58.29,208,30.29,212,53.29
CAN,DOH,103,15.35,204,37.75,200,15.35,213,37.75
CAN,DXB,133,14.70,221,36.80,206,14.70,227,36.80
CEB,CAI,15,56.89,33,75.49,72,56.89,137,70.49
CEB,DOH,0,,15,69.95,119,19.05,169,37.75
CEB,DXB,0,,0,,99,47.10,153,54.00
CGK,CAI,233,28.49,227,54.19,214,28.49,213,49.19
CGK,DOH,225,16.95,221,37.75,206,16.95,233,37.75
CGK,DXB,231,16.30,234,36.80,213,16.30,234,36.80
CKG,CAI,42,52.49,49,80.49,82,52.49,178,70.49
CKG,DOH,0,,6,69.95,127,15.35,179,37.75
CKG,DXB,0,,0,,106,43.40,171,54.00
CSX,CAI,73,37.19,133,64.49,71,37.19,133,59.49
CSX,DOH,67,36.55,117,58.95,77,25.65,179,48.05
CSX,DXB,0,,0,,11,43.40,3,54.00
CTU,CAI,89,37.19,140,64.49,132,30.29,187,53.29
CTU,DOH,31,36.55,72,58.95,171,15.35,196,37.75
CTU,DXB,50,35.90,112,58.00,167,35.90,204,54.00
DPS,CAI,134,31.19,156,58.29,201,31.19,205,53.29
DPS,DOH,1,30.55,22,52.75,201,15.55,212,37.75
DPS,DXB,149,25.20,200,47.10,201,40.80,217,47.10
HAN,CAI,171,44.69,155,58.29,220,44.69,214,53.29
HAN,DOH,23,44.05,30,52.75,214,29.05,232,37.75
HAN,DXB,120,49.60,55,47.10,219,43.80,227,47.10
HGH,CAI,41,52.49,48,75.49,155,30.29,210,53.29
HGH,DOH,1,61.55,7,69.95,190,15.35,218,37.75
HGH,DXB,0,,0,,172,40.60,208,54.00
HKG,CAI,142,62.99,127,58.29,227,60.79,214,49.19
HKG,DOH,5,73.75,21,52.75,211,47.35,234,37.75
HKG,DXB,48,48.60,46,38.70,214,48.60,230,36.80
KUL,CAI,232,68.39,229,54.19,216,36.59,218,49.19
KUL,DOH,211,56.85,219,37.75,213,25.05,234,37.75
KUL,DXB,214,37.20,234,36.80,218,24.40,234,36.80
MNL,CAI,218,29.19,221,54.19,216,29.19,212,49.19
MNL,DOH,199,28.55,193,48.65,210,17.65,228,37.75
MNL,DXB,225,27.30,222,47.10,216,27.90,228,47.10
NKG,CAI,0,,4,75.49,13,58.99,115,70.49
NKG,DOH,0,,21,69.95,173,32.55,216,54.95
NKG,DXB,0,,0,,121,43.40,118,54.00
PEK,CAI,62,61.49,77,75.49,164,58.99,188,70.49
PEK,DOH,3,61.55,15,69.95,184,32.55,208,54.95
PEK,DXB,0,,0,,153,43.40,196,54.00
PKX,CAI,89,37.19,86,58.29,202,30.29,201,53.29
PKX,DOH,0,,15,52.75,199,15.35,196,37.75
PKX,DXB,40,35.90,54,47.10,202,35.90,211,47.10
PVG,CAI,132,37.19,190,64.49,211,30.29,212,53.29
PVG,DOH,0,,0,,205,15.35,229,37.75
PVG,DXB,92,25.00,185,47.10,211,25.00,230,47.10
SGN,CAI,177,45.89,209,64.49,213,45.89,214,59.49
SGN,DOH,0,,0,,206,24.05,226,37.75
SGN,DXB,178,33.70,212,47.10,208,33.70,230,47.10
SHA,CAI,139,37.19,191,64.49,210,30.29,212,53.29
SHA,DOH,0,,0,,205,15.35,228,37.75
SHA,DXB,91,25.00,185,47.10,211,25.00,230,47.10
SIN,CAI,228,63.69,229,54.19,222,63.69,215,49.19
SIN,DOH,204,52.85,179,37.75,219,52.85,234,37.75
SIN,DXB,218,52.20,234,36.80,221,52.20,234,36.80
SZX,CAI,77,37.19,146,64.49,74,30.29,158,53.29
SZX,DOH,51,25.65,56,48.05,71,25.65,165,48.05
SZX,DXB,81,25.00,160,47.10,75,25.00,167,47.10
TAO,CAI,0,,51,75.49,8,58.99,175,70.49
TAO,DOH,0,,20,69.95,140,32.55,211,54.95
TAO,DXB,0,,0,,101,43.40,181,54.00
TFU,CAI,93,37.19,155,64.49,109,30.29,181,53.29
TFU,DOH,34,36.55,68,58.95,109,15.35,153,37.75
TFU,DXB,50,35.90,115,58.00,109,35.90,194,58.00
WUH,CAI,3,61.49,4,75.49,48,58.99,118,70.49
WUH,DOH,2,61.55,12,69.95,171,32.55,214,54.95
WUH,DXB,0,,0,,129,43.40,122,54.00
XIY,CAI,0,,1,75.49,6,58.99,91,70.49
XIY,DOH,0,,13,69.95,108,32.55,168,54.95
XIY,DXB,0,,0,,66,43.40,112,91.20
XMN,CAI,64,37.19,97,64.49,115,37.19,175,59.49
XMN,DOH,76,36.55,111,48.05,193,25.65,228,48.05
XMN,DXB,71,35.90,108,47.10,157,25.00,159,47.10
